,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,EDM,BUF,2016-10-16,0,0,1,1.0
1,NYI,ANA,2016-10-16,1,0,0,0.5
2,VAN,CAR,2016-10-16,1,1,1,0.666666666667
3,DET,OTT,2016-10-17,1,0,0,0.5
4,NYR,SJS,2016-10-17,1,1,1,0.6
5,PIT,COL,2016-10-17,0,1,0,0.5
6,WPG,BOS,2016-10-17,0,0,1,0.571428571429
7,WSH,COL,2016-10-18,1,1,1,0.625
8,VAN,STL,2016-10-18,1,0,0,0.555555555556
9,TBL,FLA,2016-10-18,1,0,0,0.5
10,OTT,ARI,2016-10-18,1,1,1,0.545454545455
11,NYI,SJS,2016-10-18,0,0,1,0.583333333333
12,NSH,DAL,2016-10-18,0,0,1,0.615384615385
13,NJD,ANA,2016-10-18,1,1,1,0.642857142857
14,MTL,PIT,2016-10-18,1,0,0,0.6
15,MIN,LAK,2016-10-18,1,1,1,0.625
16,EDM,CAR,2016-10-18,1,1,1,0.647058823529
17,CHI,PHI,2016-10-18,1,0,0,0.611111111111
18,CGY,BUF,2016-10-18,1,1,1,0.631578947368
19,NYR,DET,2016-10-19,0,1,0,0.6
20,WPG,TOR,2016-10-19,1,0,0,0.571428571429
21,VAN,BUF,2016-10-20,1,1,1,0.590909090909
22,TBL,COL,2016-10-20,0,1,0,0.565217391304
23,PIT,SJS,2016-10-20,1,1,1,0.583333333333
24,PHI,ANA,2016-10-20,0,1,0,0.56
25,MTL,ARI,2016-10-20,1,1,1,0.576923076923
26,EDM,STL,2016-10-20,1,0,0,0.555555555556
27,FLA,WSH,2016-10-20,0,0,1,0.571428571429
28,DAL,LAK,2016-10-20,0,1,0,0.551724137931
29,CGY,CAR,2016-10-20,0,1,0,0.533333333333
30,BOS,NJD,2016-10-20,1,1,1,0.548387096774
31,MIN,TOR,2016-10-20,1,0,0,0.53125
32,CBJ,CHI,2016-10-21,1,1,1,0.545454545455
33,DET,NSH,2016-10-21,1,0,0,0.529411764706
34,NYI,ARI,2016-10-21,1,0,0,0.514285714286
35,WSH,NYR,2016-10-22,0,0,1,0.527777777778
36,PHI,CAR,2016-10-22,1,1,1,0.540540540541
37,OTT,TBL,2016-10-22,0,0,1,0.552631578947
38,NSH,PIT,2016-10-22,1,1,1,0.564102564103
39,NJD,MIN,2016-10-22,1,1,1,0.575
40,LAK,VAN,2016-10-22,1,0,0,0.560975609756
41,CHI,TOR,2016-10-22,1,0,0,0.547619047619
42,DET,SJS,2016-10-22,1,0,0,0.53488372093
43,DAL,CBJ,2016-10-22,0,0,1,0.545454545455
44,CGY,STL,2016-10-22,0,1,0,0.533333333333
45,BOS,MTL,2016-10-22,0,0,1,0.54347826087
46,FLA,COL,2016-10-22,1,1,1,0.553191489362
47,WPG,EDM,2016-10-23,0,1,0,0.541666666667
48,NYR,ARI,2016-10-23,1,1,1,0.551020408163
49,ANA,VAN,2016-10-23,1,0,0,0.54
50,NYI,MIN,2016-10-23,1,0,0,0.529411764706
51,CHI,CGY,2016-10-24,0,1,0,0.519230769231
52,MTL,PHI,2016-10-24,1,1,1,0.528301886792
53,VAN,OTT,2016-10-25,0,0,1,0.537037037037
54,TOR,TBL,2016-10-25,0,0,1,0.545454545455
55,SJS,ANA,2016-10-25,1,1,1,0.553571428571
56,PIT,FLA,2016-10-25,1,1,1,0.561403508772
57,PHI,BUF,2016-10-25,1,1,1,0.568965517241
58,STL,CGY,2016-10-25,0,0,1,0.576271186441
59,LAK,CBJ,2016-10-25,1,0,0,0.566666666667
60,DET,CAR,2016-10-25,1,1,1,0.573770491803
61,DAL,WPG,2016-10-25,1,0,0,0.564516129032
62,BOS,MIN,2016-10-25,0,1,0,0.555555555556
63,NJD,ARI,2016-10-25,1,1,1,0.5625
64,ANA,NSH,2016-10-26,1,1,1,0.569230769231
65,EDM,WSH,2016-10-26,1,1,1,0.575757575758
66,NYI,MTL,2016-10-26,0,1,0,0.567164179104
67,NYR,BOS,2016-10-26,1,0,0,0.558823529412
68,SJS,CBJ,2016-10-27,1,1,1,0.565217391304
69,WPG,DAL,2016-10-27,1,1,1,0.571428571429
70,TOR,FLA,2016-10-27,1,1,1,0.577464788732
71,STL,DET,2016-10-27,0,1,0,0.569444444444
72,PIT,NYI,2016-10-27,1,1,1,0.575342465753
73,PHI,ARI,2016-10-27,0,1,0,0.567567567568
74,MTL,TBL,2016-10-27,1,1,1,0.573333333333
75,LAK,NSH,2016-10-27,1,1,1,0.578947368421
76,BUF,MIN,2016-10-27,0,1,0,0.571428571429
77,ANA,CBJ,2016-10-28,0,1,0,0.564102564103
78,CAR,NYR,2016-10-28,1,1,1,0.569620253165
79,CGY,OTT,2016-10-28,1,1,1,0.575
80,COL,WPG,2016-10-28,0,1,0,0.567901234568
81,NJD,CHI,2016-10-28,0,1,0,0.560975609756
82,VAN,EDM,2016-10-28,0,0,1,0.566265060241
83,SJS,NSH,2016-10-29,1,0,0,0.559523809524
84,PHI,PIT,2016-10-29,0,1,0,0.552941176471
85,NJD,TBL,2016-10-29,1,1,1,0.558139534884
86,MTL,TOR,2016-10-29,1,1,1,0.563218390805
87,ARI,COL,2016-10-29,0,0,1,0.568181818182
88,DET,BOS,2016-10-29,0,1,0,0.561797752809
89,BUF,FLA,2016-10-29,1,1,1,0.566666666667
90,STL,LAK,2016-10-29,1,1,1,0.571428571429
91,MIN,DAL,2016-10-29,1,1,1,0.576086956522
92,VAN,WSH,2016-10-29,0,1,0,0.569892473118
93,NYI,TOR,2016-10-30,1,1,1,0.574468085106
94,WPG,BUF,2016-10-30,0,1,0,0.568421052632
95,EDM,OTT,2016-10-30,0,0,1,0.572916666667
96,NYR,TBL,2016-10-30,1,0,0,0.567010309278
97,CHI,LAK,2016-10-30,1,0,0,0.561224489796
98,CAR,PHI,2016-10-30,0,0,1,0.565656565657
99,DET,FLA,2016-10-30,0,1,0,0.56
100,CGY,WSH,2016-10-30,0,1,0,0.554455445545
101,WPG,WSH,2016-11-01,0,1,0,0.549019607843
102,TOR,EDM,2016-11-01,1,1,1,0.553398058252
103,NYI,TBL,2016-11-01,0,0,1,0.557692307692
104,MIN,BUF,2016-11-01,0,0,1,0.561904761905
105,LAK,ANA,2016-11-01,0,1,0,0.556603773585
106,OTT,CAR,2016-11-01,1,0,0,0.551401869159
107,COL,NSH,2016-11-01,0,0,1,0.555555555556
108,CHI,CGY,2016-11-01,1,1,1,0.559633027523
109,CBJ,DAL,2016-11-01,1,1,1,0.563636363636
110,ARI,SJS,2016-11-01,1,1,1,0.567567567568
111,FLA,BOS,2016-11-01,0,1,0,0.5625
112,NYR,STL,2016-11-01,1,1,1,0.566371681416
113,ANA,PIT,2016-11-02,0,1,0,0.561403508772
114,MTL,VAN,2016-11-02,1,1,1,0.565217391304
115,PHI,DET,2016-11-02,1,1,1,0.568965517241
116,NYI,PHI,2016-11-03,0,0,1,0.57264957265
117,WSH,WPG,2016-11-03,1,0,0,0.567796610169
